MONTH,TESLA_NEWS_SEARCH_PT
"2018-01-01",24
"2018-02-01",34
"2018-03-01",24
"2018-04-01",26
"2018-05-01",25
"2018-06-01",22
"2018-07-01",24
"2018-08-01",26
"2018-09-01",26
"2018-10-01",28
"2018-11-01",25
"2018-12-01",31
"2019-01-01",27
"2019-02-01",30
"2019-03-01",38
"2019-04-01",39
"2019-05-01",35
"2019-06-01",32
"2019-07-01",33
"2019-08-01",34
"2019-09-01",35
"2019-10-01",36
"2019-11-01",51
"2019-12-01",39
"2020-01-01",37
"2020-02-01",41
"2020-03-01",29
"2020-04-01",20
"2020-05-01",26
"2020-06-01",29
"2020-07-01",39
"2020-08-01",41
"2020-09-01",57
"2020-10-01",40
"2020-11-01",31
"2020-12-01",36
"2021-01-01",40
"2021-02-01",35
"2021-03-01",33
"2021-04-01",34
"2021-05-01",36
"2021-06-01",32
"2021-07-01",33
"2021-08-01",36
"2021-09-01",31
"2021-10-01",41
"2021-11-01",39
"2021-12-01",37
"2022-01-01",37
"2022-02-01",34
"2022-03-01",40
"2022-04-01",40
"2022-05-01",36
"2022-06-01",42
"2022-07-01",33
"2022-08-01",36
"2022-09-01",33
"2022-10-01",38
"2022-11-01",37
"2022-12-01",38
"2023-01-01",65
"2023-02-01",45
"2023-03-01",49
"2023-04-01",60
"2023-05-01",52
"2023-06-01",51
"2023-07-01",59
"2023-08-01",54
"2023-09-01",62
"2023-10-01",59
"2023-11-01",59
"2023-12-01",65
"2024-01-01",61
"2024-02-01",52
"2024-03-01",56
"2024-04-01",66
"2024-05-01",58
"2024-06-01",54
"2024-07-01",61
"2024-08-01",55
"2024-09-01",46
"2024-10-01",66
"2024-11-01",73
"2024-12-01",71
"2025-01-01",78
"2025-02-01",71
"2025-03-01",100
"2025-04-01",74
"2025-05-01",60
"2025-06-01",63
"2025-07-01",62
"2025-08-01",63
"2025-09-01",56
"2025-10-01",68
"2025-11-01",70
"2025-12-01",75
